GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PPROG3_ITERACAO_06_05_2018,models,Equipamento,41,135,4,4,15,34,16,13,12,13
PPROG3_ITERACAO_06_05_2018,models,AcessoAreaRestrita,86,0,0,0,34,0,12,0,12,0
PPROG3_ITERACAO_06_05_2018,models,PeriodoDeAutorizacao,21,86,5,5,10,20,10,8,5,8
PPROG3_ITERACAO_06_05_2018,models,RegistoPerfisDeAutorizacao,47,0,2,0,16,0,9,0,8,0
PPROG3_ITERACAO_06_05_2018,models,PerfilDeAutorizacao,41,99,7,9,8,27,10,10,4,8
PPROG3_ITERACAO_06_05_2018,models,AreaRestrita,41,69,1,1,18,14,12,4,11,4
PPROG3_ITERACAO_06_05_2018,models,Empresa,76,0,0,0,25,0,8,0,8,0
PPROG3_ITERACAO_06_05_2018,models,RegistoDeEquipamentos,55,0,4,0,17,0,10,0,8,0
PPROG3_ITERACAO_06_05_2018,models,AtribuicaoCartaoDefinitivo,95,0,8,0,23,0,16,0,12,0
PPROG3_ITERACAO_06_05_2018,models,ListaPeriodosDeAutorizacao,28,63,1,5,7,16,4,7,3,5
PPROG3_ITERACAO_06_05_2018,models,RegistoColaboradores,69,0,2,0,27,0,13,0,12,0
PPROG3_ITERACAO_06_05_2018,models,RegistoDeAcessos,55,0,0,0,16,0,7,0,7,0
PPROG3_ITERACAO_06_05_2018,models,RegistoDeCartoes,85,0,10,0,27,0,14,0,9,0
PPROG3_ITERACAO_06_05_2018,models,CartaoIdentificacaoDefinitivo,117,20,8,0,37,7,19,2,15,2
PPROG3_ITERACAO_06_05_2018,models,Colaborador,47,55,4,4,10,19,10,7,6,7
PPROG3_ITERACAO_06_05_2018,ui,RegistarPerfilDeAutorizacaoUI,235,0,26,0,68,0,21,0,8,0
PPROG3_ITERACAO_06_05_2018,ui,MenuUI,246,0,18,0,55,0,12,0,3,0
PPROG3_ITERACAO_06_05_2018,ui,AcederAreaRestritaUI,78,0,2,0,23,0,4,0,3,0
PPROG3_ITERACAO_06_05_2018,ui,MainApp,15,0,0,0,5,0,2,0,2,0
PPROG3_ITERACAO_06_05_2018,utils,Utils,152,0,12,0,39,0,14,0,8,0
PPROG3_ITERACAO_06_05_2018,utils,EscritaFicheiroBin,27,0,0,0,10,0,2,0,2,0
PPROG3_ITERACAO_06_05_2018,utils,InstanciacaoClasses,246,0,4,0,28,0,5,0,3,0
PPROG3_ITERACAO_06_05_2018,utils,Leitura,239,0,2,0,37,0,4,0,3,0
PPROG3_ITERACAO_06_05_2018,controllers,RegistarPerfilDeAutorizacaoController,117,11,4,0,25,4,12,1,10,1
PPROG3_ITERACAO_06_05_2018,controllers,AcederAreaRestritaController,107,0,8,0,25,0,6,0,2,0
